STEX0272,"100kVA 11kV/400V, Mineral Oil-Filled, Sealed type, Pole Mounted Transformer"
STRD0034,100kVA 33kV 415V Outdoor Transformer Multi Step Oval R&D Ph1
STRD0531,100kVA 33kV 415V Outdoor Transformer Multi Step Oval R&D Ph2
STPV1065,100kVA 33kV 415V Outdoor Transformer STD EU
STEX0502,100kVA 33kV/0.433kV Outdoor Transformer for REA Uganda
PH0011,100mm Felt Liner Clutch Pulley
STPV0102,10kVA 33kV 110V NVD Transformer
STPV0332,10kVA 33kV 110V NVD Transformer (Special)
STPV0694,10kVA 33kV 64V YN- Open Delta NVD Transformer
STPV0516,"10kVA,33kV/110V 5 Limb NVD Transformer"
P80016,"110mm 2 Grooved MS Pully with 2 Nos 6201 Bearings, Circlips"
STPV0322,1250kVA 11kV 415V  3Ø 50Hz ONAN Indoor Transformer with HV and LV cable boxes and ISD unit
STPV0371,1250kVA 33kV 400V 3Ø 50Hz ONAN Outdoor Transformer for Solar Project
STPV0388,1250kVA 33kV 400V 3Ø 50Hz ONAN Outdoor Transformer with ISD Unit  for Solar Project
STPV0577,1250kVA 33kV 400V 3Ø 50Hz ONAN Transformer with HV/LV cable boxes & ISD Unit for Solar Project
STPV0618,1250kVA 33kV 400V 3Ø 50Hz ONAN Transformer with LV Cable box & ISD Unit  for Solar Project
STPV0595,1250kVA 33kV 400V Outdoor Transformer STD EU
STPV0632,1250kVA 33kV 400V Outdoor Transformer STD EU with LV Cable Box
STPV0279,1250kVA 33kV 415V 3Ø 50Hz ONAN Transformer with LV Cable box and ISD unit
STPV0523,"1250kVA 33kV 415V Indoor Transformer with HV/LV Cable Boxes,ISD Unit & WTI"
STPV0164,1250kVA 33kV 415V Outdoor Distribution Transformer with ISD Unit
STPV0601,1250kVA 33kV 415V Outdoor Transformer STD EU
STPV0638,1250kVA 33kV 415V Outdoor Transformer STD EU with LV Cable Box
STPV0766,1250kVA 33kV 690V Outdoor Transformer STD EU with LV Cable Box- AL Winding
STPV0742,1250kVA 33kV 800V Outdoor Transformer STD EU- AL Winding
STPV0528,1250kVA 33kV/800V 3Ø 50Hz ONAN Outdoor Transformer with ISD Unit  for Solar Project (CT 1970)
STPV0541,1250kVA 33kV/800V 3Ø 50Hz ONAN Outdoor Transformer with ISD Unit  for Solar Project (CT 1985)
SPPM0059,12mm Die for Punching Machine
STRD0628,132kV/33kV Transformer Tank with Accessories
SPGS0299,13A socket outlet
SPPM0060,14mm Die for Punching Machine
STPV0172,"1500kVA 11kV 415V Distribution Transformer with HV, LV Cable Boxes and ISD"
STPV0418,1500kVA 33kV 400V Outdoor Solar Transformer with ISD Unit
STPV0251,1500kVA 33kV 415V Outdoor Transformer with ISD Unit
STPV0253,1500kVA 33kV 415V Outdoor Transformer with LV Cable Box & ISD Unit
STPV0493,1500kVA 33kV/11kV  Power Transformer with  ISD unit
PH0004,150mm Nylon Pulley with 2nos of 6201 Bearings
AATT0003,160/11 TFST
AAST0137,160/11 Tie Rod
AATT0004,160/33 TFST
STPV0679,"1600kVA 11kV 400V Ynd11 Indoor Transformer with HV, LV Cable Boxes and ISD Unit"
STPV0477,1600kVA 33kV 400V 3Ø 50Hz ONAN Outdoor Transformer for Solar Project
STPV0501,1600kVA 33kV 415V 3Ø 50Hz Dyn11 Cast Resin Transformer with Copper windings and IP21 Enclosure
STPV0574,1600kVA 33kV 415V ONAN Outdoor Transformer with LV Cable box & ISD unit
STPV0602,1600kVA 33kV 415V Outdoor Transformer STD EU
STPV0639,1600kVA 33kV 415V Outdoor Transformer STD EU with LV Cable Box
STPV0691,160kVA 11kV 415V 3Ø 50Hz Outdoor Step-down Transformer with HV/LV Cable boxes & ISD Unit
