Item code,Description,Price
AATK0382,Assembly Packet for 2000/3.3/415 Tanking Yd1
CUFX1062,Flexible Braided Connector for 400/33/400 EU Loss Design
TKFT0063,"Powder Painted Tank & Cover after Fabricating, Tank Welding & Galvanizing for 800A 30s Std ET"
STCH0580,Steel Channels for 100/11/415 New Design Ph2
TMHV0572,Timber Packet for 2000/33/400 HV Winding CT2007
ACOT0619,LV Terminal Connectors
WTAS0371,Assembly 1250/33/415
FTSS0096,SS Bolt M10 x 40 Grade 304 with Axial Centre Hole
PC0014,Auto Cable 30/0.25 A/C 100mm2-Yellow
WTTK1135,Tanking Exhibit 160/11/415
AABC0598,Assembly Packet for Multi Step Oval 2500/33/400 Built Core EU
PU0018,U Clip -3/4''
INBC0582,Insulation Packet for 250/11/415 Built Core New Design Ph2
WTHC0487,HV Rectangular Windings 250/400/220
WTLF0017,LV Winding Standard I/D 250/11/415
SPVC0093,SVS-service plug -quadratic
STPV0101,500kVA 33kV 415V Outdoor Transformer with ISD
TMCC0084,Timber Cross Cut 50x75x868mm 800/33/400 for CT1749
WTHC0585,HV Winding CNC Multi Step 800/11/415 O/D STD PH2
INHV0005,Insulation Packet for 630/33/415 HV
ACGK0072,Cork Gasket Cut to Size 8mm for 250/33/415 Ph2
STFT0610,Steel Foot for 2500/33/690 EU Loss Design
TMST0085,Timber Stick 27x25x290mm
SPVC0112,2/2-way seated valve for pressure testing Equipment
WTLW0201,LV Wire Winding 5/33
AABC0457,Assembly Packet for 1000kVA 11kV 415V  3� Transformer with On Load Tap Changer and LV Box_ Built Cor
ACGK0736-D,Cork Gasket Cut to Size 8mm & 6mm for 1000- 1250kVA Common EU AL Winding
SPVC0116,Groove ball
CNDP0040,Mastic Tape 3M
PY0033,Amano Roofing Sheet - 15Feet
WTOV0093,Ovening Multi Step Oval 950/33/1000
WTTK0888,Tanking Multi Step 2000/33/6300 O/D STD EU
STRD0508,160kVA 33kV 415V Outdoor Transformer Multi Step Oval R&D Ph1
INPB0016,Press Board E-Block for 250/11
AAST0106,Stay Rod 518 & Tie Rod 179 M10 50/400/220 for CT1930
WTTS0008,Testing Standard O/D 100/11/415
PT0012,2'' - 1'' Adaptor
CUAS0330,Copper Lead Set for 350/3.3/415 Assembly
P80010,"P.F.R 3P with Sequence 415 VAC, 4wire, 11Pin - Foxtam"
PY0034,GI Box Bar 1'' x 1'' x 1.6mm
AAST0141,800/11 Tie Rod
ASST0009,Optima Series Mid-Back Task Chair
CUEW0004,Copper Enamel Round Winding Wire Grade 2 Class 180 - 1.90mm
P1000018,Former spacers for 250/33/415V T/F
AATT0013,1000/11 TFST
AAST0102,Stay Rod 482mm & Tie Rod 231.5mm M10 200/33/433 for CT1909
AAAS2000,Assembly Packet for Multi Step Oval 1000/33/415 Assembly EU Sample
ACIN0017,"Vertical Oil Level Indicator R1"" with O-ring L=185mm"
ACBU0017,HV Bushing Outdoor 52kV 250A DIN Standard CD1100
SPMW0005,Gas regulater Kayser
INAS1131,Insulation Packet for 4000/33/690 Assembly EU Loss Design
STTR0888,Steel Tie Rod for 2000/33/6300 EU Loss Design
SPHW0150,Cylinder -CDQMB16-10
PG0007,Nylon Rope 20mm
WTFB0172,Fabricated Tank & Cover 1500/11/415
P10041,End piece
AATF0042,HV Winding for 160kVA 33kV 415V
STSR0816,Steel Stay Rod for 2000/11/415 EU Loss Design
PRAA0026,Slot Nut
ACOT0327,SS V Bracket for EN type 10kV 250A and 30kV 250A HV Bushings
INLV0201,Insulation Packet for 5/33
SPVC0057,O Ring 280x05 FPM70 Viton/Black
STPV0691,160kVA 11kV 415V 3� 50Hz Outdoor Step-down Transformer with HV/LV Cable boxes & ISD Unit
INHV0443,Insulation Packet for 200/33/400 HV
MCST0112,Calculator Scientific
CULV0452,Copper Lead Set for 1000/11/400 LV
WTOV0272,Oven Standard 100/11/400 DEWA
STPK0024,"Steel Channels, Traverse, Frame Foot Set for 800/33/415 RD1902(F) Ph1"
SPVC0089,"2/2-way coaxial valve electromagnetic directly operated, model FK 20 NC St"
TMCC0013,Timber Cross Cut 40x70x728mm for 250/33 Standard Production
FTSS0109,SS Bolt & Nut M10 x 90
INSL0116-D,DDP Single Layer 0.15x798mm
FTSS0040,Studs M12 X 50
SPTL0019,Dies for Battery Crimping Tool 240 mm2
INDL0002,DDP Double Layer 0.15x490mm
FTSS0038,SS DA Studs  Reduced Base Long Cycle M08 X 40
WTHN0002,HV new Windings Standard O/D 160/33/415
SGOT0015,Cable Cu/XLPE/PVC   95mm2
RDFT0057,Fin Type Radiators 1500/33/11 for CT1803
TLMN0002,Allen Key Set
STTR0102,Steel Tie Rod for 10/33/110 STD NVD TF
SPLW0122,Guide Rail - Foil Winding Machine
ACBU0001,LV Bushing Outdoor 1kV 250A EN Standard
INDL0042,DDP Double Layer 0.15x230mm
WTAS0510,Assembly Multi Step Oval 630/33/415
TLMN0027,Mesuring Tape 3mtr
STSR0601,Steel Stay Rod for 1250/33/415 EU Loss Design
PH0027,Cable Tray 90 Flat Bend Cover 225 x 1.2mm- Axel Sri Lanka (CTHD)
CNDP0011,Grease Bucket 16 KG
INLV0601,Insulation Packet for 1250/33/415 LV EU Loss Design
ESHB0003,Electrical Steel 100 W/kg 0.27 x 070 mm
INSL0100,DDP Single Layer 0.25x233mm
ESHB0029,Electrical Steel 100 W/kg x 330 mm
AABC0680,Assembly Packet for Multi Step Oval 1500/11/400 Built Core
CUFL0012,Copper Foil 0.19 X 215 mm
CUEW0055-D,Copper Enamel Round Winding Wire Grade 2 Class 180 - 2.70mm
SPHW0044,Illuminated Pushbutton - M22-DL-G
WTHC0569,HV Winding of 2000kVA 33kV 415V 3� 50Hz Transformer with LV cable box & ISD Unit
INBC0609,Insulation Packet for 2000/33/690 Built Ciore  EU Loss Design
AATK0410,Assembly Packet for 200/33/400 Tanking
TMAS0606,Timber Packet for 1000/33/690 Assembly EU Loss Design
WTBC0201,Built Core 5/33
INOT0014,Cork Sheet 1/8'' x 2'' x 3mm
INSB0008,Stick Barrier (14.5x14x10mm) 0.5x30x290mm
CNTL0006,Hole saw 25mm
CNGN0031,Water Sand Papers 500
MCOT0005,AAA Battery
TMAS0601,Timber Packet for 1250/33/415 Assembly EU Loss Design
P1000014,LV Former for 2500/33/400V - CT1935
STCB0016,Transformer Standard I/D 160/11/415
TMAS0598,Timber Packet for 2500/33/400 Assembly EU Loss Design
SPMW0007,Gas Diffuser- MB GRIP 24KD
SGAC0014,Rubber Gromat 80mm
PL0012,Cable 1 Core 7/0.67 2.5mm2 - Brown
FTGL0027,GI Bolt M10X50
WTHN0534,HV New Windings Multi Step Oval 400/33/415 Ph2
P1000023,Inner Clamp for 100/33
AABC0613,Assembly Packet for Multi Step Oval 1250/33/800 Built Core EU
PX0002,LV Box Cover
WTAS0572,Assembly of 2000kVA 33kV 400V 3� 50Hz ONAN Outdoor Transformer with ISD Unit  for Solar Project
ACGK0020,Cork Gasket Set for B9724-6M Bushings
INSL0021,DDP Single Layer 0.25x260mm
WTLF1102,LV Winding Multi Step Oval 160/11/415 EU
ACGK0039,Rubber Gasket (ACM) for 100kVA 33kV 415V 888(L)x420(B)x10(T)x12(H)mm
P1000019,Former 2000/33/415 for CT1939
STFI0008,Flat Iron 30 x 6mm
STCB0001,Transformer Standard O/D 100/33/415
WTTS0567,"Testing of 400 A, 10 Sec, 15kV Earthing Transformer to EEP"
INLV0888,Insulation Packet for 2000/33/6300 LV EU Loss Design
CUAS0509,Copper Lead Set for Multi Step Oval 400/33/415 Assembly Ph1
MCOT0071,"Pad Lock 2 1/2"""
INSL0097,DDP Single Layer 0.25x528mm
ACCP0013,Brass End Cap for DIN50 Gate Valve
WTAS0888,Assembly Multi Step 2000/33/6300 O/D STD EU
STPK0018,"Steel Channels, Traverse, Frame Foot Set for 160/33/415 RD1902(B) Ph1"
WTTS0093,Testing Multi Step Oval 950/33/1000
P10033,Variable bend with quick connector
WTTS0888,Testing Multi Step 2000/33/6300 O/D STD EU
AAST0128,"Stay Rod 949mm, 780mm & Tie Rod 353mm M12 630/33/400 for CT1984(A)"
MCSK0007,"Sticker  - ""Hold"""
STPV0578,"3500/2500/1000kVA , 6000V/420V/420V, ONAN , Three winding transformer wiith HV & LV Cable boxes"
INHV0533,Insulation Packet for 250/33/415 HV New Design Ph 2
AAAS0612,Assembly Packet for Multi Step Oval 1000/33/800 Assembly EU
AAST0097,Stay Rod 1176mm & Tie Rod 292mm M16 1250/11/415kVA for CT1906
CNFB0001,Oxygen
ACCP0004,"Cap Galvanized 1/2"""
CUFL0056-D,Copper Foil 0.60 x 685 mm
TKFT1063,Powder Painted Tank & Cover after Shot Blasting O/D 630/33/400 EU
STFT0603,Steel Foot for 2000/33/415 EU Loss Design
STPK0030,"Steel Channels, Traverse, Frame Foot Set for 1250/33/415 CT1956"
PR0004,Needle Nose Pliers
TKFT0088-T,"Powder Painted Tank & Cover after Fabricating, Tank Welding & Galvanizing for 400A 10s 15kV CT1975"
CUFX1068,Flexible Braided Connector for 400/33/415 EU Loss Design
STPK0020,"Steel Channels, Traverse, Frame Foot Set for 10/33/110 NVD"
SPCC0197,BIM-UNT-AP6X-03-PSG3S
CUAS0545,Copper Lead Set for1000/33/800 Assembly
SPCC0170,"Connector 10m,  Plug 0�"
TMCC0112,Timber Cross Cut 50x100x1004mm for 1000/33/400 CT1923 & CT1926
WTTK0398,Tanking 1000/33/400
PS0001,Stiffener 2 - 154mm
