Item code,Tag,Description,Ex. Works Price,CIF,Duty Free,Duty Paid,Export
,Other items,CT TERMINAL BOX (6 TERMINALS),,,,,
,Other items,24kV ELBOW CONNECTOR SET (03),,,,,
,Other items,36kV ELBOW CONNECTOR SET (03),,,,,
,Other items,52kV ELBOW CONNECTOR SET (04),,,,,
,Other items,OBO SURGE ARRESTERS,,,,,
,Other items,LTL Name Board,,,,,
,Other items,"Nut, Bolt & 2 Washers (Galvanized) M10 x 40 mm",,,,,
,Other items,Split washers for tank cover fixing,,,,,
,Other items,"M12 bolt, nut, spring washer & lock washer for earthing terminal",,,,,
,Other items,Flange Gasket,,,,,
,Other items,Wooden Pallete For Packing,,,,,
,Other items,Surge Arresters,,,,,
,Finishing,Painting,,,,,
,Finishing,GALVANIZING,,,,,
,Finishing,PRIMER PAINT & THINNER,,,,,
,Finishing,POWDER PAINT (RAL6028) Marine Grade,,,,,
,Finishing,INTERNAL PAINT,,,,,
