Item code,Tag,Description,Ex. Works Price,CIF,Duty Free,Duty Paid,Export
Other items,Other items,GALVANIZED CUP FOR THERMOMETER POCKET,,,,,
Other items,Other items,BUCHOLZ RELAY EW712,,,,,
Other items,Other items,"CONSERVATOR FILLING CAP AL. 2""",,,,,
Other items,Other items,T/F WHEEL 7613T00691,,,,,
Other items,Other items,T/F WHEEL 7613T00691,,,,,
Other items,Other items,OIL TEMP. INDICATOR TD50 (354 01 12X6.0),,,,,
Other items,Other items,WINDING TEMP. INDICATOR TD76 (354 01 12X6.0),,,,,
Other items,Other items,RTD WTI (PT100),,,,,
Other items,Other items,RTD OTI (PT100),,,,,
Other items,Other items,CT 3000/2A Oil Immersed (Measuring) Ring Type 15VA/0.5,,,,,
Other items,Other items,CT 5000/5A Oil Immersed (Measuring) Ring Type 15VA/0.5,,,,,
Other items,Other items,CT 1600/1A 5P20 15VA/0.5 2 Core,,,,,
Other items,Other items,NCT 400/1A 5P20 15VA,,,,,
Other items,Other items,NCT 1600/1A 5P20 15VA,,,,,
Other items,Other items,NCT 2000/1A 5P20 15VA,,,,,
Other items,Other items,CT TERMINAL BOX (2 TERMINALS),,,,,
Other items,Other items,CT TERMINAL BOX (4 TERMINALS),,,,,
Other items,Other items,CT TERMINAL BOX (6 TERMINALS),,,,,
Other items,Other items,24kV ELBOW CONNECTOR SET (03),,,,,
Other items,Other items,36kV ELBOW CONNECTOR SET (03),,,,,
Other items,Other items,52kV ELBOW CONNECTOR SET (04),,,,,
Other items,Other items,OBO SURGE ARRESTERS,,,,,
Other items,Other items,LTL Name Board,,,,,
Other items,Other items,"Nut, Bolt & 2 Washers (Galvanized) M10 x 40 mm",,,,,
Other items,Other items,Split washers for tank cover fixing,,,,,
Other items,Other items,"M12 bolt, nut, spring washer & lock washer for earthing terminal",,,,,
Other items,Other items,Flange Gasket,,,,,
Other items,Other items,Wooden Pallete For Packing,,,,,
Other items,Other items,Surge Arresters,,,,,
Finishing,Finishing,Painting,,,,,
Finishing,Finishing,GALVANIZING,,,,,
Finishing,Finishing,PRIMER PAINT & THINNER,,,,,
Finishing,Finishing,POWDER PAINT (RAL6028) Marine Grade,,,,,
Finishing,Finishing,INTERNAL PAINT,,,,,
