Checkbox,Icon,Selected,Item code,Tag,Description,Quantity kg/l/nos,Ex. Works Price,CIF,Duty Free,Duty Paid,Export
,,no,HV Round conductor,9- HV Round conductor,2.4,1,,,,,
,,no,HV Round conductor,9- HV Round conductor,2.45,1,,,,,
,,no,HV Round conductor,9- HV Round conductor,2.55,1,,,,,
,,no,HV Round conductor,9- HV Round conductor,2.6,1,,,,,
,,no,HV Round conductor,9- HV Round conductor,2.7,1,,,,,
,,no,HV Round conductor,9- HV Round conductor,2.75,1,,,,,
,,no,HV Round conductor,9- HV Round conductor,2.8,1,,,,,
,,no,HV Round conductor,9- HV Round conductor,3.05,1,,,,,
,,no,HV Round conductor,9- HV Round conductor,3.15,1,,,,,
,,no,HV Round conductor,9- HV Round conductor,3.2,1,,,,,
,,no,HV Round conductor,9- HV Round conductor,3.3,1,,,,,
,,no,HV Round conductor,9- HV Round conductor,3.35,1,,,,,
,,no,HV Round conductor,9- HV Round conductor,3.7,1,,,,,
,,no,HV Round conductor,9- HV Round conductor,3.75,1,,,,,
,,no,HV Round conductor,9- HV Round conductor,3.85,1,,,,,
,,no,HV Round conductor,9- HV Round conductor,3.93,1,,,,,
,,no,DDP,91 - DDP Double Layer,0.15,1,,,,,
,,no,DDP,91 - DDP Single Layer,0.15,1,,,,,
,,no,DDP,91 - DDP Single Layer,0.25,1,,,,,
,,no,DDP,92 - HV Edge strip,0.25,1,,,,,
,,no,DDP,92 - HV Strip insulation,0.05,1,,,,,
,,no,Insulation,93 - HV Insulation Packet,50kVA,1,,,,,
,,no,Insulation,93 - HV Insulation Packet,100kVA,1,,,,,
,,no,Insulation,93 - HV Insulation Packet,160kVA,1,,,,,
,,no,Insulation,93 - HV Insulation Packet,200kVA,1,,,,,
,,no,Insulation,93 - HV Insulation Packet,250kVA,1,,,,,
,,no,Insulation,93 - HV Insulation Packet,315kVA,1,,,,,
,,no,Insulation,93 - HV Insulation Packet,500kVA,1,,,,,
,,no,Insulation,93 - HV Insulation Packet,630kVA ,1,,,,,
,,no,Insulation,93 - HV Insulation Packet,800kVA,1,,,,,
,,no,Insulation,93 - HV Insulation Packet,1000kVA,1,,,,,
,,no,Insulation,93 - HV Insulation Packet,1250kVA,1,,,,,
,,no,Insulation,93 - HV Insulation Packet,1600kVA,1,,,,,
,,no,Insulation,93 - HV Insulation Packet,2000kVA,1,,,,,
,,no,Insulation,93 - HV Insulation Packet,2500kVA,1,,,,,
,,no,Insulation,93 - HV Insulation Packet,3150kVA,1,,,,,
,,no,Insulation,93 - HV Insulation Packet,4000kVA,1,,,,,
,,no,Insulation,93 - HV Insulation Packet,5000kVA,1,,,,,
,,no,,94 - HD Copper,,1,,,,,
,,no,,95 - Bare Copper,,1,,,,,
,,no,,96 - Bare Copper,,1,,,,,
,,no,Copper Flexible,97 - Copper Flexible,50/33/400,1,,,,,
,,no,Copper Flexible,97 - Copper Flexible,100/33/400  EU,1,,,,,
,,no,Copper Flexible,97 - Copper Flexible,160/33/400 EU,1,,,,,
